season,week,rank_elim,perc_elim,fan_elim,actual,is_ignored
9,6,Michael Irvin,Michael Irvin,Louie Vito,"Louie Vito, Melissa Joan Hart",False
9,7,Michael Irvin,Mark Dacascos,Mark Dacascos,"Mark Dacascos, Michael Irvin",False
9,8,Mya,Aaron Carter,Aaron Carter,Aaron Carter,False
9,9,Donny Osmond,Donny Osmond,Joanna Krupa,Joanna Krupa,False
9,10,Mya,Kelly Osbourne,Kelly Osbourne,,True
10,1,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,,True
10,2,Buzz Aldrin,Shannen Doherty,Shannen Doherty,Shannen Doherty,False
10,3,Aiden Turner,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False
10,4,Kate Gosselin,Kate Gosselin,Aiden Turner,Aiden Turner,False
10,5,Nicole Scherzinger,Kate Gosselin,Kate Gosselin,Kate Gosselin,False
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,False
10,7,Niecy Nash,Niecy Nash,Pamela Anderson,Pamela Anderson,False
10,8,Nicole Scherzinger,Niecy Nash,Niecy Nash,Niecy Nash,False
10,9,Erin Andrews,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,False
10,10,Nicole Scherzinger,Erin Andrews,Erin Andrews,,True
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,False
11,2,Margaret Cho,Michael Bolton,Michael Bolton,Michael Bolton,False
11,3,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,False
11,4,Bristol Palin,The Situation,The Situation,The Situation,False
11,5,Bristol Palin,Bristol Palin,Florence Henderson,Florence Henderson,False
11,6,Kurt Warner,Kurt Warner,Audrina Patridge,Audrina Patridge,False
11,7,Bristol Palin,Bristol Palin,Rick Fox,Rick Fox,False
11,8,Kyle Massey,Bristol Palin,Kurt Warner,Kurt Warner,False
11,9,Bristol Palin,Bristol Palin,Brandy,Brandy,False
11,10,Jennifer Grey,Bristol Palin,Bristol Palin,,True
12,1,Mike Catherwood,Mike Catherwood,Mike Catherwood,,True
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,False
12,3,Romeo,Wendy Williams,Wendy Williams,Wendy Williams,False
12,4,Kendra Wilkinson,Kendra Wilkinson,Sugar Ray Leonard,Sugar Ray Leonard,False
12,5,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,Petra Nemcova,False
12,6,Ralph Macchio,Chris Jericho,Chris Jericho,Chris Jericho,False
12,7,Kirstie Alley,Kirstie Alley,Kendra Wilkinson,Kendra Wilkinson,False
12,8,Ralph Macchio,Romeo,Romeo,Romeo,False
12,9,Chelsea Kane,Ralph Macchio,Ralph Macchio,Ralph Macchio,False
12,10,Kirstie Alley,Chelsea Kane,Chelsea Kane,,True
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,Chaz Bono,Chaz Bono,Elisabetta Canalis,Elisabetta Canalis,False
13,3,Chaz Bono,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,False
13,4,Carson Kressley,Carson Kressley,Chynna Phillips,Chynna Phillips,False
13,5,Chaz Bono,Carson Kressley,Carson Kressley,Carson Kressley,False
13,6,J.R. Martinez,Chaz Bono,Chaz Bono,Chaz Bono,False
13,7,Nancy Grace,David Arquette,David Arquette,David Arquette,False
13,8,J.R. Martinez,Nancy Grace,Nancy Grace,Nancy Grace,False
13,9,Rob Kardashian,Hope Solo,Hope Solo,Hope Solo,False
13,10,Ricki Lake,Ricki Lake,Ricki Lake,,True
14,1,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,,True
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,False
14,3,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Jack Wagner,False
14,4,Gladys Knight,Gladys Knight,Sherri Sheperd,Sherri Sheperd,False
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,False
14,6,Roshon Fegan,Gladys Knight,Gladys Knight,Gladys Knight,False
14,7,Melissa Gilbert,Melissa Gilbert,Jaleel White,Jaleel White,False
14,8,Maria Menounos,Melissa Gilbert,Melissa Gilbert,"Melissa Gilbert, Roshon Fegan",False
14,9,Katherine Jenkins,Maria Menounos,Maria Menounos,Maria Menounos,False
14,10,Donald Driver,William Levy,William Levy,,True
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,False
15,2,Bristol Palin,Joey Fatone,Joey Fatone,Joey Fatone,False
15,3,Bristol Palin,Helio Castroneves,Helio Castroneves,"Drew Lachey, Helio Castroneves",False
15,4,Kirstie Alley,Bristol Palin,Bristol Palin,Bristol Palin,False
15,5,Kelly Monaco,Kelly Monaco,Kelly Monaco,,True
15,6,Emmitt Smith,Gilles Marini,Sabrina Bryan,Sabrina Bryan,False
15,7,Apolo Anton Ohno,Kirstie Alley,Kirstie Alley,,True
15,8,Shawn Johnson,Kirstie Alley,Kirstie Alley,"Gilles Marini, Kirstie Alley",False
15,9,Kelly Monaco,Emmitt Smith,Emmitt Smith,"Apolo Anton Ohno, Emmitt Smith",False
15,10,Shawn Johnson,Shawn Johnson,Kelly Monaco,,True
16,1,Andy Dick,D. L. Hughley,D. L. Hughley,,True
16,2,D. L. Hughley,D. L. Hughley,D. L. Hughley,,True
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,False
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,False
16,5,Andy Dick,Andy Dick,Andy Dick,D. L. Hughley,False
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,False
16,7,Sean Lowe,Andy Dick,Andy Dick,Andy Dick,False
16,8,Jacoby Jones,Sean Lowe,Sean Lowe,Sean Lowe,False
16,9,Kellie Pickler,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,False
16,10,Jacoby Jones,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,False
17,1,Keyshawn Johnson,Bill Nye,Bill Nye,,True
17,2,Bill Nye,Bill Nye,Keyshawn Johnson,Keyshawn Johnson,False
17,3,Jack Osbourne,Bill Nye,Bill Nye,Bill Nye,False
17,4,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,False
17,5,Leah Remini,Bill Engvall,Christina Milian,Christina Milian,False
17,6,Jack Osbourne,Bill Engvall,Bill Engvall,,True
17,7,Bill Engvall,Bill Engvall,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",False
17,8,Bill Engvall,Bill Engvall,Brant Daugherty,Brant Daugherty,False
17,9,Bill Engvall,Bill Engvall,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,False
17,10,Bill Engvall,Leah Remini,Leah Remini,Leah Remini,False
17,11,Amber Riley,Bill Engvall,Bill Engvall,Bill Engvall,False
18,1,Diana Nyad,Diana Nyad,Diana Nyad,,True
18,2,Candace Cameron Bure,NeNe Leakes,NeNe Leakes,Sean Avery,False
18,3,Drew Carey,Drew Carey,Drew Carey,,True
18,4,Cody Simpson,Candace Cameron Bure,Candace Cameron Bure,,True
18,5,Drew Carey,Drew Carey,Cody Simpson,Cody Simpson,False
18,6,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Drew Carey,False
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,False
18,8,Candace Cameron Bure,Candace Cameron Bure,Danica McKellar,Danica McKellar,False
18,9,Candace Cameron Bure,Candace Cameron Bure,Charlie White,Charlie White,False
18,10,Candace Cameron Bure,Candace Cameron Bure,James Maslow,James Maslow,False
19,1,Betsey Johnson,Betsey Johnson,Lolo Jones,Lolo Jones,False
19,2,Michael Waltrip,Michael Waltrip,Tavis Smiley,Tavis Smiley,False
19,3,Randy Couture,Randy Couture,Randy Couture,Randy Couture,False
19,4,Jonathan Bennett,Betsey Johnson,Betsey Johnson,Betsey Johnson,False
19,5,Bethany Mota,Michael Waltrip,Michael Waltrip,,True
19,6,Antonio Sabato Jr.,Antonio Sabato Jr.,Jonathan Bennett,Jonathan Bennett,False
19,7,Michael Waltrip,Michael Waltrip,Antonio Sabato Jr.,Antonio Sabato Jr.,False
19,8,Sadie Robertson,Michael Waltrip,Michael Waltrip,Michael Waltrip,False
19,9,Tommy Chong,Lea Thompson,Lea Thompson,Lea Thompson,False
19,10,Sadie Robertson,Tommy Chong,Tommy Chong,Tommy Chong,False
19,11,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,False
20,1,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,,True
20,2,Chris Soules,Chris Soules,Redfoo,Redfoo,False
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,False
20,4,Chris Soules,Chris Soules,Michael Sam,Michael Sam,False
20,5,Robert Herjavec,Robert Herjavec,Suzanne Somers,Suzanne Somers,False
20,6,Robert Herjavec,Robert Herjavec,Patti LaBelle,Patti LaBelle,False
20,7,Chris Soules,Chris Soules,Willow Shields,Willow Shields,False
20,8,Nastia Liukin,Robert Herjavec,Robert Herjavec,"Chris Soules, Robert Herjavec",False
20,9,Noah Galloway,Noah Galloway,Nastia Liukin,Nastia Liukin,False
20,10,Riker Lynch,Noah Galloway,Noah Galloway,,True
21,1,Chaka Khan,Chaka Khan,Chaka Khan,,True
21,2,Gary Busey,Chaka Khan,Chaka Khan,"Chaka Khan, Victor Espinoza",False
21,3,Andy Grammer,Paula Deen,Paula Deen,,True
21,4,Alexa PenaVega,Gary Busey,Gary Busey,Gary Busey,False
21,5,Paula Deen,Paula Deen,Paula Deen,,True
21,6,Carlos PenaVega,Paula Deen,Paula Deen,Paula Deen,False
21,7,Alek Skarlatos,Alek Skarlatos,Hayes Grier,Hayes Grier,False
21,8,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,False
21,9,Alek Skarlatos,Alek Skarlatos,Alexa PenaVega,Alexa PenaVega,False
21,10,Bindi Irwin,Nick Carter,Nick Carter,,True
21,11,Alek Skarlatos,Alek Skarlatos,Carlos PenaVega,Carlos PenaVega,False
22,1,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,,True
22,2,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,False
22,4,Doug Flutie,Doug Flutie,Marla Maples,Marla Maples,False
22,5,Antonio Brown,Antonio Brown,Antonio Brown,,True
22,6,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,False
22,7,Jodie Sweetin,Jodie Sweetin,Kim Fields,"Kim Fields, Von Miller",False
22,8,Wanya Morris,Wanya Morris,Jodie Sweetin,Jodie Sweetin,False
22,9,Ginger Zee,Antonio Brown,Antonio Brown,"Antonio Brown, Wanya Morris",False
22,10,Nyle DiMarco,Ginger Zee,Ginger Zee,,True
23,1,Rick Perry,Rick Perry,Rick Perry,,True
23,2,Rick Perry,Rick Perry,Jake T. Austin,Jake T. Austin,False
23,3,Rick Perry,Rick Perry,Rick Perry,Rick Perry,False
23,4,Marilu Henner,Babyface,Babyface,"Babyface, Vanilla Ice",False
23,5,Amber Rose,Amber Rose,Amber Rose,,True
23,6,Amber Rose,Amber Rose,Amber Rose,Amber Rose,False
23,7,Marilu Henner,Marilu Henner,Maureen McCormick,Maureen McCormick,False
23,8,Marilu Henner,Terra Jole,Ryan Lochte,Ryan Lochte,False
23,9,James Hinchcliffe,James Hinchcliffe,James Hinchcliffe,Marilu Henner,False
23,10,Calvin Johnson Jr.,Calvin Johnson Jr.,Terra Jole,Terra Jole,False
23,11,Calvin Johnson Jr.,Jana Kramer,Jana Kramer,Jana Kramer,False
24,1,Chris Kattan,Chris Kattan,Chris Kattan,,True
24,2,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,False
24,3,Bonner Bolton,Bonner Bolton,Bonner Bolton,Charo,False
24,4,Mr. T,Mr. T,Mr. T,Mr. T,False
24,5,David Ross,David Ross,Erika Jayne,Erika Jayne,False
24,6,Nick Viall,Nick Viall,Heather Morris,Heather Morris,False
24,7,Bonner Bolton,Nancy Kerrigan,Nancy Kerrigan,"Nancy Kerrigan, Nick Viall",False
24,8,Normani,Bonner Bolton,Bonner Bolton,Bonner Bolton,False
24,9,David Ross,David Ross,Simone Biles,Simone Biles,False
24,10,David Ross,Normani,Normani,,True
25,1,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,,True
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,"Barbara Corcoran, Debbie Gibson",False
25,3,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,,True
25,4,Nick Lachey,Nick Lachey,Derek Fisher,Derek Fisher,False
25,5,Nick Lachey,Nick Lachey,Sasha Pieterse,Sasha Pieterse,False
25,6,Drew Scott,Nick Lachey,Nick Lachey,Nick Lachey,False
25,7,Terrell Owens,Nikki Bella,Nikki Bella,"Nikki Bella, Vanessa Lachey",False
25,8,Drew Scott,Victoria Arlen,Terrell Owens,Terrell Owens,False
25,9,Drew Scott,Victoria Arlen,Victoria Arlen,Victoria Arlen,False
25,10,Drew Scott,Drew Scott,Drew Scott,Drew Scott,False
26,1,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Jamie Anderson,"Jamie Anderson, Johnny Damon",False
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,"Arike Ogunbowale, Kareem Abdul-Jabbar",False
26,3,Chris Mazdzer,Jennie Finch Daigle,Jennie Finch Daigle,"Chris Mazdzer, Jennie Finch Daigle, Mirai Nagasu",False
26,4,Tonya Harding,Tonya Harding,Tonya Harding,,True
27,1,Joe Amabile,Joe Amabile,Nikki Glaser,Nikki Glaser,False
27,2,Joe Amabile,Joe Amabile,Danelle Umstead,Danelle Umstead,False
27,3,Joe Amabile,Joe Amabile,Nancy McKeon,Nancy McKeon,False
27,4,Joe Amabile,Bobby Bones,Tinashe,Tinashe,False
27,5,Bobby Bones,Joe Amabile,Joe Amabile,,True
27,6,John Schneider,John Schneider,Mary Lou Retton,Mary Lou Retton,False
27,7,Joe Amabile,Joe Amabile,John Schneider,"DeMarcus Ware, John Schneider",False
27,8,Bobby Bones,Joe Amabile,Juan Pablo Di Pace,"Joe Amabile, Juan Pablo Di Pace",False
27,9,Bobby Bones,Alexis Ren,Evanna Lynch,,True
28,1,Lamar Odom,Lamar Odom,Lamar Odom,,True
28,2,Lamar Odom,Lamar Odom,Lamar Odom,Mary Wilson,False
28,3,Lamar Odom,Lamar Odom,Lamar Odom,,True
28,4,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,False
28,5,Sean Spicer,Sean Spicer,Sean Spicer,,True
28,6,Sean Spicer,Sean Spicer,Sean Spicer,Sailor Brinkley-Cook,False
28,7,Sean Spicer,Sean Spicer,Sean Spicer,Karamo Brown,False
28,8,Sean Spicer,Sean Spicer,Sean Spicer,Kate Flannery,False
28,9,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,False
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,False
28,11,Lauren Alaina,Lauren Alaina,Lauren Alaina,,True
29,1,Carole Baskin,Carole Baskin,Carole Baskin,,True
29,2,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,False
29,3,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin,False
29,4,Anne Heche,Anne Heche,Anne Heche,Anne Heche,False
29,5,Chrishell Stause,Chrishell Stause,Chrishell Stause,Jesse Metcalfe,False
29,6,Skai Jackson,Skai Jackson,Skai Jackson,Veron Davis,False
29,7,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama,False
29,8,Nelly,Nelly,Nelly,Chrishell Stause,False
29,9,Nelly,Nelly,Nelly,AJ McLean,False
29,10,Skai Jackson,Skai Jackson,Skai Jackson,"Johnny Weir, Skai Jackson",False
29,11,Nelly,Justina Machado,Justina Machado,,True
30,1,Martin Kove,Martin Kove,Martin Kove,,True
30,2,Martin Kove,Martin Kove,Martin Kove,Martin Kove,False
30,3,Cody Rigsby,Cody Rigsby,Cody Rigsby,Christine Chiu,False
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,"Brian Austin Green, Matt James",False
30,5,Iman Shumpert,Iman Shumpert,Iman Shumpert,Melanie C,False
30,6,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,False
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",False
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,"Jimmie Allen, Olivia Jade",False
30,9,Melora Hardin,Melora Hardin,Melora Hardin,"Melora Hardin, Suni Lee",False
30,10,Cody Rigsby,Cody Rigsby,Cody Rigsby,,True
31,1,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Jason Lewis,False
31,2,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,Teresa Giudice,False
31,3,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Cheryl Ladd,False
31,4,Sam Champion,Sam Champion,Sam Champion,Sam Champion,False
31,5,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Joseph Baena,False
31,6,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Jessie James Decker,False
31,7,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Jordin Sparks,False
31,8,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,"Heidi D'Amelio, Vinny Guadagnino",False
31,9,Trevor Donovan,Trevor Donovan,Trevor Donovan,"Daniel Durant, Trevor Donovan",False
31,10,Shangela,Shangela,Shangela,,True
32,1,Matt Walsh,Matt Walsh,Matt Walsh,Matt Walsh,False
32,2,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,Jamie Lynn Spears,False
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford,False
32,4,Barry Williams,Barry Williams,Barry Williams,Adrian Peterson,False
32,5,Harry Jowsey,Harry Jowsey,Harry Jowsey,Mira Sorvino,False
32,6,Harry Jowsey,Harry Jowsey,Harry Jowsey,Mauricio Umansky,False
32,7,Harry Jowsey,Harry Jowsey,Harry Jowsey,Lele Pons,False
32,8,Harry Jowsey,Harry Jowsey,Harry Jowsey,Barry Williams,False
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey,False
32,10,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan,,True
32,11,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan,,True
33,1,Eric Roberts,Eric Roberts,Eric Roberts,,True
33,2,Anna Delvey,Eric Roberts,Anna Delvey,"Anna Delvey, Tori Spelling",False
33,3,Reginald VelJohnson,Reginald VelJohnson,Reginald VelJohnson,"Eric Roberts, Reginald VelJohnson",False
33,4,Dwight Howard ,Dwight Howard ,Dwight Howard ,Brooks Nader,False
33,5,Dwight Howard ,Dwight Howard ,Dwight Howard ,Phaedra Parks,False
33,6,Ilona Maher,Ilona Maher,Ilona Maher,Jenn Tran,False
33,7,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ,False
33,8,Stephen Nedoroscik,Stephen Nedoroscik,Stephen Nedoroscik,,True
33,9,Danny Amendola,Danny Amendola,Danny Amendola,,True
34,1,Corey Feldman,Corey Feldman,Corey Feldman,,True
34,2,Corey Feldman,Corey Feldman,Corey Feldman,"Baron Davis, Corey Feldman",False
34,3,Andy Richter,Andy Richter,Andy Richter,Lauren Jauregui,False
34,4,Andy Richter,Andy Richter,Andy Richter,Hilaria Baldwin,False
34,5,Andy Richter,Andy Richter,Andy Richter,,True
34,6,Andy Richter,Andy Richter,Andy Richter,Scott Hoying,False
34,7,Andy Richter,Andy Richter,Andy Richter,Jen Affleck,False
34,8,Andy Richter,Andy Richter,Andy Richter,Danielle Fishel,False
34,9,Andy Richter,Andy Richter,Andy Richter,Andy Richter,False
34,10,Dylan Efron,Dylan Efron,Dylan Efron,Whitney Leavitt,False
34,11,Elaine Hendrix,Elaine Hendrix,Elaine Hendrix,,True
