season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,f_placement,rule_type,predicted_fan_vote,certainty_metric,week_certainty
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False,3,Rank_Standard,4.0,0.16666666666666666,0.0
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False,3,Rank_Standard,3.0,0.16666666666666666,0.0
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False,2,Rank_Standard,2.0,0.16666666666666666,0.0
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.1192660550458715,7,False,1,Rank_Standard,6.0,0.16666666666666666,0.0
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False,4,Rank_Standard,1.0,0.16666666666666666,0.0
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False,2,Rank_Standard,5.0,0.16666666666666666,0.0
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.1157024793388429,3,False,3,Rank_Standard,4.0,0.1437125748502994,0.7680555555555555
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.1735537190082644,7,False,3,Rank_Standard,3.0,0.17964071856287425,0.7680555555555555
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.2148760330578512,7,False,2,Rank_Standard,1.0,0.16167664670658682,0.7680555555555555
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.140495867768595,7,False,1,Rank_Standard,5.0,0.1437125748502994,0.7680555555555555
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.1983471074380165,4,False,4,Rank_Standard,2.0,0.16167664670658682,0.7680555555555555
